  0%|                                                                                               | 0/500 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                            
{'loss': 0.8225, 'grad_norm': 3.318990468978882, 'learning_rate': 3.6e-05, 'epoch': 0.0}
{'loss': 0.2495, 'grad_norm': 1.644492745399475, 'learning_rate': 7.6e-05, 'epoch': 0.0}
{'loss': 0.2076, 'grad_norm': 2.137453556060791, 'learning_rate': 9.998250366089848e-05, 'epoch': 0.0}
{'loss': 0.1753, 'grad_norm': 1.6013213396072388, 'learning_rate': 9.97858104436822e-05, 'epoch': 0.01}
{'loss': 0.1661, 'grad_norm': 2.4884767532348633, 'learning_rate': 9.937141654477528e-05, 'epoch': 0.01}
{'loss': 0.1414, 'grad_norm': 1.5080770254135132, 'learning_rate': 9.87411340032603e-05, 'epoch': 0.01}
{'loss': 0.1409, 'grad_norm': 1.3873870372772217, 'learning_rate': 9.789771888432375e-05, 'epoch': 0.01}
{'loss': 0.1169, 'grad_norm': 1.1532950401306152, 'learning_rate': 9.684485922768422e-05, 'epoch': 0.01}
{'loss': 0.1043, 'grad_norm': 1.088762640953064, 'learning_rate': 9.558715892073323e-05, 'epoch': 0.01}
{'loss': 0.116, 'grad_norm': 2.323737621307373, 'learning_rate': 9.413011756690685e-05, 'epoch': 0.01}
{'loss': 0.1146, 'grad_norm': 1.2114522457122803, 'learning_rate': 9.248010643731935e-05, 'epoch': 0.02}
{'loss': 0.1248, 'grad_norm': 1.2140398025512695, 'learning_rate': 9.064434061081562e-05, 'epoch': 0.02}
{'loss': 0.0848, 'grad_norm': 1.2787519693374634, 'learning_rate': 8.863084742426719e-05, 'epoch': 0.02}
{'loss': 0.0965, 'grad_norm': 0.8212881684303284, 'learning_rate': 8.644843137107059e-05, 'epoch': 0.02}
{'loss': 0.0922, 'grad_norm': 1.0979036092758179, 'learning_rate': 8.410663560133784e-05, 'epoch': 0.02}
{'loss': 0.0916, 'grad_norm': 0.9978598356246948, 'learning_rate': 8.161570019212921e-05, 'epoch': 0.02}
{'loss': 0.067, 'grad_norm': 0.8716151714324951, 'learning_rate': 7.898651737020166e-05, 'epoch': 0.03}
{'loss': 0.0802, 'grad_norm': 1.0746519565582275, 'learning_rate': 7.623058388307269e-05, 'epoch': 0.03}
{'loss': 0.0907, 'grad_norm': 1.3861006498336792, 'learning_rate': 7.335995072666848e-05, 'epoch': 0.03}
{'loss': 0.0657, 'grad_norm': 1.093328833580017, 'learning_rate': 7.038717044938519e-05, 'epoch': 0.03}
